nombre_comunidad,date,value
País Vasco,2020/04,-0.5
País Vasco,2020/05,-0.7
País Vasco,2020/06,-0.2
País Vasco,2020/07,-0.6
País Vasco,2020/08,-0.4
País Vasco,2020/09,-0.2
País Vasco,2020/10,-0.5
País Vasco,2020/11,-0.6
País Vasco,2020/12,-0.3
País Vasco,2021/01,0.6
País Vasco,2021/02,0.3
País Vasco,2021/03,1.4
País Vasco,2021/04,2.5
País Vasco,2021/05,2.8
País Vasco,2021/06,2.9
País Vasco,2021/07,2.9
País Vasco,2021/08,3.3
País Vasco,2021/09,3.9
País Vasco,2021/10,5
La Rioja,2020/01,1.1
La Rioja,2020/02,0.6
La Rioja,2020/03,0
La Rioja,2020/04,-0.9
La Rioja,2020/05,-1.1
La Rioja,2020/06,-0.7
La Rioja,2020/07,-1
La Rioja,2020/08,-0.7
La Rioja,2020/09,-0.7
La Rioja,2020/10,-1.2
La Rioja,2020/11,-1.3
La Rioja,2020/12,-0.8
La Rioja,2021/01,0.3
La Rioja,2021/02,-0.2
La Rioja,2021/03,1.2
La Rioja,2021/04,2.3
La Rioja,2021/05,2.6
La Rioja,2021/06,2.8
La Rioja,2021/07,3.1
La Rioja,2021/08,3.5
La Rioja,2021/09,4.3
La Rioja,2021/10,5.9
Ceuta,2020/01,0.3
Ceuta,2020/02,0.1
Ceuta,2020/03,-0.7
Ceuta,2020/04,-1.1
Ceuta,2020/05,-0.9
Ceuta,2020/06,-0.2
Ceuta,2020/07,-0.3
Ceuta,2020/08,-0.2
Ceuta,2020/09,-0.3
Ceuta,2020/10,-0.5
Ceuta,2020/11,-0.7
Ceuta,2020/12,-0.4
Ceuta,2021/01,0.6
Ceuta,2021/02,0.3
Ceuta,2021/03,1.4
Ceuta,2021/04,1.8
Ceuta,2021/05,2.1
Ceuta,2021/06,2.1
Ceuta,2021/07,2.2
Ceuta,2021/08,2.8
Ceuta,2021/09,3.6
Ceuta,2021/10,4.6
Melilla,2020/01,0.8
Melilla,2020/02,0.7
Melilla,2020/03,-0.3
Melilla,2020/04,-0.3
Melilla,2020/05,-0.1
Melilla,2020/06,0.4
Melilla,2020/07,-0.2
Melilla,2020/08,0
Melilla,2020/09,0
Melilla,2020/10,-0.2
Melilla,2020/11,0.1
Melilla,2020/12,0.1
Melilla,2021/01,1.6
Melilla,2021/02,1.3
Melilla,2021/03,3
Melilla,2021/04,3
Melilla,2021/05,3.4
Melilla,2021/06,3.5
Melilla,2021/07,3.4
Melilla,2021/08,3.9
Melilla,2021/09,4.8
Melilla,2021/10,5.9
